"country code",Country,World region,Survey,Year,MPI (National),Headcount ratio: Population in multidimensional poverty (H),Intensity of deprivation among the poor (A),Vulnerable to poverty (who experience 20-33.32% intensity of deprivations) ,In severe poverty (severity 50% or higher) ,"Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)","Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)",Proportion of MPI poor who are destitute,"Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)",Indicator (s) missing,Health ,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking 
fuel",Sanitation,Drinking water,Electricity,Housing,Assets
AFG,Afghanistan,South Asia,DHS,2016,0.2717212372,55.9102392608,48.5995482813,18.1376249278,24.8619504561,0.0202764254,26.0945728842,46.6722602844,9,Nutrition,10.0093826652,44.9887663126,45.0018495321,,10.009382297,19.2488777996,25.7398900278,10.0715908231,9.9599679921,6.1584385324,4.8405609721,11.1386777233,2.8326138323
ALB,Albania,Europe and Central Asia,DHS,2018,0.0027478786,0.7035612961,39.0567043687,5.0403203363,0.0670620414,...*,0.0948082027,13.4754714966,10,,28.2599806786,55.0546169281,16.6854009032,28.1133889901,0.1465927475,31.2786589055,23.7759594769,5.7622489051,2.9052997666,4.2062785994,0,2.8153397142,0.9962328948
DZA,Algeria,Arab States,MICS,2019,0.0054090931,1.3808349301,39.1726266817,3.6071680781,0.2028077733,0.006745385,0.3146480172,22.7867946625,10,,31.2143564224,49.3012666702,19.4843798876,24.2163223497,6.9980337799,29.6121137777,19.6891503006,1.3063280377,6.3291123804,4.2437562079,1.6988447817,4.544302801,1.3620355833
AGO,Angola,Sub-Saharan Africa,DHS,2016,0.2824350476,51.1041118453,55.2665993767,15.5428558169,32.4575522774,0.0239880364,27.6890765132,54.1817016602,10,,21.16458565,32.0500195026,46.7853933573,17.2718479013,3.8927372584,18.5279482227,13.5220711749,7.8283271202,8.724594717,7.2597567953,8.4945297321,8.680104327,5.7980827511
ARG,Argentina,Latin America and the Caribbean,MICS,2020,0.0014692951,0.4323233348,33.9860236491,1.6474592819,0.0051213561,...*,0.0840312123,19.437122345,10,,69.6795344353,21.3819876313,8.9384786785,35.8478779173,33.8316555016,12.045973056,9.336015003,0.2386102684,2.4035997267,0.3127033352,0.1907294827,3.482949669,2.30988604
ARM,Armenia,Europe and Central Asia,DHS,2016,0.000690069,0.1905533826,36.2139469067,2.7763599379,0,...*,0.0256412503,13.4562034607,10,,33.1113874912,36.7746889591,30.1139205694,33.1113880261,0,5.7128028186,31.0618877202,5.8425034151,15.3409280957,3.082697916,0,1.9042676062,3.9435244021
BGD,Bangladesh,South Asia,MICS,2019,0.1040602663,24.6405732138,42.2312684881,18.2063200664,6.4798938349,0.0097280918,3.4976048347,14.1944942474,10,,17.2783881426,37.6338303089,45.0877845287,15.1905750076,2.0878134273,26.7776154659,10.8562129722,12.4660298776,8.322342089,0.7626168234,2.4646130734,12.455224067,8.6169571966
BRB,Barbados,Latin America and the Caribbean,MICS,2012,0.0085288617,2.4913368924,34.2340762766,0.4917953673,0,...*,1.1396764088,45.7455749512,9,Child mortality,96.0469543934,0.6609572098,3.2920867205,96.0469559205,,0.6609571973,0,0,0.3129557701,0.0882122551,0.9054241704,1.7651756208,0.2203190658
BLZ,Belize,Latin America and the Caribbean,MICS,2016,0.0171088313,4.3035434291,39.7552194086,8.3647672889,0.6302395144,0.0066567236,0.8487100835,19.7211933136,10,,39.4982486963,20.9413141012,39.5604372025,31.1245644763,8.3736843957,6.5179280627,14.4233856323,10.0839843239,6.6071010953,2.2727356264,8.0014828061,9.2517124393,3.3434211421
BEN,Benin,Sub-Saharan Africa,DHS,2018,0.3676748243,66.7988884933,55.0420572267,14.6862223985,40.9371427114,0.0251220763,35.9803192916,53.8636512756,10,,20.8437755704,36.2705945969,42.8856343031,16.1462495972,4.6975254303,20.0973344342,16.1732584648,10.0253787408,9.7432549515,5.636883211,8.322387411,6.4842572235,2.673470536
BTN,Bhutan,South Asia,MICS,2010,0.1748639865,37.3411287407,46.8287897011,17.6759456754,14.676308455,0.0160614215,13.3338617588,35.7082443237,10,,24.2260232568,36.6019278765,39.1720443964,12.094347245,12.1316754592,28.3447598143,8.2571698238,8.8438629429,7.0168625586,1.0361147691,6.5340117554,9.8053413051,5.9358543267
BOL,Bolivia,Latin America and the Caribbean,EDSA,2016,0.0377542702,9.0602172985,41.6703804252,12.1302021812,1.9144868329,0.0080535803,1.6702697507,18.4352054596,10,,18.6587527394,31.4917176962,49.8495280743,16.3770071885,2.2817453371,25.2421308202,6.2495865315,10.4636897437,12.7389560818,4.4381890728,5.5614436036,11.0363036156,5.6109480051
BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2012,0.0083074962,2.1901334942,37.9314606423,4.0741876039,0.0620316152,0.001895151,1.0354552046,47.2781791687,9,Child mortality,79.6649038792,7.2166539729,13.118442893,79.6649031331,,4.025535545,3.1911181964,9.8645640542,1.7504406961,0.2565126918,0.3417636784,0.3325662401,0.5725957649
BWA,Botswana,Sub-Saharan Africa,BMTHS,2016,0.0726386987,17.2192955795,42.1844774928,19.6777523144,3.5045099797,0.0079167243,5.4215291213,31.4851970673,10,,30.2904129028,16.4929628372,53.2166242599,28.2925103343,1.9979027005,9.0945169699,7.39844518,12.529775613,10.6772415318,2.9948876052,11.8361484491,6.9264897387,8.2520818776
BRA,Brazil,Latin America and the Caribbean,PNAD,2015,0.0163460408,3.8419268664,42.5464652128,6.2107955058,0.9387835671,0.0084793083,1.3721916122,35.7162361145,9,Nutrition,49.7614115477,22.9037508368,27.3348361254,,49.7614114488,19.8349092897,3.0688425865,4.521165449,11.9213346478,7.3736416973,0.5599022259,1.9283547731,1.0304378819
BFA,Burkina Faso,Sub-Saharan Africa,DHS,2010,0.5234242794,84.192337432,62.1700614715,7.1835715368,65.3312162619,0.0273418352,57.2920898686,68.0490570068,10,,20.5038323998,40.3805822134,39.1155868769,15.0941071987,5.4097254722,21.7804613095,18.6001197083,8.8750063941,8.1231438263,4.3834022118,8.6768216361,7.6144387166,1.4427735265
BDI,Burundi,Sub-Saharan Africa,DHS,2017,0.4088610942,75.097472648,54.4440551491,15.7612584646,46.0684486467,0.0219473932,32.5221666919,43.3066062927,10,,23.8302990794,27.1548509598,49.0148484707,20.624924596,3.2053747057,17.3542251617,9.8006257371,10.1711094425,6.2110430142,5.8129071488,9.9890839155,9.5934211276,7.2372851509
KHM,Cambodia,East Asia and the Pacific,DHS,2014,0.1703481256,37.1856908435,45.8101279641,21.1252160706,13.2067042378,0.0148975067,9.8326403356,26.4419994354,10,,21.7593058944,31.6698223352,46.5708702803,19.969356593,1.7899488413,21.0913940521,10.5784293397,11.8191910968,9.9819095888,6.95136269,8.5503793078,7.1081275913,2.1599008992
CMR,Cameroon,Sub-Saharan Africa,DHS,2018,0.2320601128,43.5916362552,53.2350085248,17.5863816865,24.5594526609,0.0259298254,22.2046870424,50.937953949,10,,25.2238541842,27.6410788298,47.1350669861,19.2315848123,5.9922683844,13.7307324921,13.9103465814,10.2899261537,8.0066927709,6.4357745596,8.2769873557,8.8523547759,5.2733321141
CAF,Central African Republic,Sub-Saharan Africa,MICS,2019,0.4613475238,80.4141778021,57.3714158823,12.9020567766,55.8151765707,0.0251416396,45.8068495063,56.9636497498,10,,20.1982676983,27.8120279312,51.9897043705,15.8732183483,4.3250486354,16.7121469649,11.0998818464,9.6298007173,9.0860239357,7.3507074121,9.0418783589,9.085980772,7.7953130091
TCD,Chad,Sub-Saharan Africa,MICS,2019,0.517011207,84.1749474664,61.4210311435,10.6659496238,64.6086972641,0.0241018273,63.7233434993,75.703453064,10,,19.1456511617,36.5741699934,44.280180335,14.3828221156,4.7628286643,18.6833204801,17.8908490951,8.8125620686,8.3331534235,5.0484027222,8.6819849058,8.6351171538,4.768959371
CHN,China,East Asia and the Pacific,CFPS,2014,0.0160667254,3.885020096,41.3555786367,17.4464465051,0.3207792205,0.0051589338,1.002751694,25.8107204437,9,Housing,35.2480620146,39.1856282949,25.5663096905,34.8767084175,0.3713526405,20.6626848305,18.5229447792,11.4963063151,3.5995379236,7.3633917918,0.1300282689,,2.9770450329
